#,Product,Grade,Vat Type,Spec.,Battery Health,Qty, Offer,Order Qty, Total,,Notes:
347,Apple iPhone 12 Pro 256GB Blue - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
348,Apple iPhone 12 Pro 256GB Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,4, £ -   ,0, £ -   ,,
349,Apple iPhone 12 Pro 256GB Blue - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
350,Apple iPhone 12 Pro 256GB Gold - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
351,Apple iPhone 12 Pro 256GB Gold - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
352,Apple iPhone 12 Pro 256GB Graphite - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
353,Apple iPhone 12 Pro 256GB Graphite - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,4, £ -   ,0, £ -   ,,
354,Apple iPhone 12 Pro 256GB Silver - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
355,Apple iPhone 12 Pro 256GB Silver - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
356,Apple iPhone 12 Pro 512GB Blue - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
357,Apple iPhone 12 Pro 512GB Blue - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
358,Apple iPhone 12 Pro 512GB Gold - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
359,Apple iPhone 12 Pro 512GB Graphite - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
360,Apple iPhone 12 Pro Max 128GB Blue - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
361,Apple iPhone 12 Pro Max 128GB Blue - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
362,Apple iPhone 12 Pro Max 128GB Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
363,Apple iPhone 12 Pro Max 128GB Blue - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
364,Apple iPhone 12 Pro Max 128GB Blue - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
365,Apple iPhone 12 Pro Max 128GB Gold - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
366,Apple iPhone 12 Pro Max 128GB Grphte - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
367,Apple iPhone 12 Pro Max 128GB Silver - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
368,Apple iPhone 12 Pro Max 128GB Silver - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
369,Apple iPhone 12 Pro Max 256GB Blue - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
370,Apple iPhone 12 Pro Max 256GB Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
371,Apple iPhone 12 Pro Max 256GB Blue - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
372,Apple iPhone 12 Pro Max 256GB Blue - Grade C - Standard Vat - US Spec - 80%+ Battery Health,Grade C,Standard,US,80%+,1, £ -   ,0, £ -   ,,
373,Apple iPhone 12 Pro Max 256GB Gold - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
374,Apple iPhone 12 Pro Max 256GB Gold - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
375,Apple iPhone 12 Pro Max 256GB Gold - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
376,Apple iPhone 12 Pro Max 256GB Grphte - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
377,Apple iPhone 13 128GB Blue - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
378,Apple iPhone 13 128GB Blue - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
379,Apple iPhone 13 128GB Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,9, £ -   ,0, £ -   ,,
380,Apple iPhone 13 128GB Blue - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,31, £ -   ,0, £ -   ,,
381,Apple iPhone 13 128GB Blue - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
382,Apple iPhone 13 128GB Green - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
383,Apple iPhone 13 128GB Green - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,6, £ -   ,0, £ -   ,,
384,Apple iPhone 13 128GB Green - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
385,Apple iPhone 13 128GB Green - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
386,Apple iPhone 13 128GB Green - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,14, £ -   ,0, £ -   ,,
387,Apple iPhone 13 128GB Green - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
388,Apple iPhone 13 128GB Midnight - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
389,Apple iPhone 13 128GB Midnight - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
390,Apple iPhone 13 128GB Midnight - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
391,Apple iPhone 13 128GB Midnight - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
392,Apple iPhone 13 128GB Midnight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,8, £ -   ,0, £ -   ,,
393,Apple iPhone 13 128GB Midnight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,62, £ -   ,0, £ -   ,,
394,Apple iPhone 13 128GB Midnight - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
395,Apple iPhone 13 128GB Midnight - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
396,Apple iPhone 13 128GB Midnight - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
397,Apple iPhone 13 128GB Pink - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
398,Apple iPhone 13 128GB Pink - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
399,Apple iPhone 13 128GB Pink - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,6, £ -   ,0, £ -   ,,
400,Apple iPhone 13 128GB Pink - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
401,Apple iPhone 13 128GB Pink - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,5, £ -   ,0, £ -   ,,
402,Apple iPhone 13 128GB Pink - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,4, £ -   ,0, £ -   ,,
403,Apple iPhone 13 128GB Pink - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
404,Apple iPhone 13 128GB Pink - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
405,Apple iPhone 13 128GB Red - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
406,Apple iPhone 13 128GB Red - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
407,Apple iPhone 13 128GB Starlight - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,4, £ -   ,0, £ -   ,,
408,Apple iPhone 13 128GB Starlight - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
409,Apple iPhone 13 128GB Starlight - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
410,Apple iPhone 13 128GB Starlight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,5, £ -   ,0, £ -   ,,
411,Apple iPhone 13 128GB Starlight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,11, £ -   ,0, £ -   ,,
412,Apple iPhone 13 128GB Starlight - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
413,Apple iPhone 13 128GB Starlight - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
414,Apple iPhone 13 256GB Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
415,Apple iPhone 13 256GB Blue - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,11, £ -   ,0, £ -   ,,
416,Apple iPhone 13 256GB Blue - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
417,Apple iPhone 13 256GB Green - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
418,Apple iPhone 13 256GB Green - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,18, £ -   ,0, £ -   ,,
419,Apple iPhone 13 256GB Midnight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,9, £ -   ,0, £ -   ,,
420,Apple iPhone 13 256GB Midnight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,18, £ -   ,0, £ -   ,,
421,Apple iPhone 13 256GB Midnight - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
422,Apple iPhone 13 256GB Pink - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,7, £ -   ,0, £ -   ,,
423,Apple iPhone 13 256GB Pink - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,16, £ -   ,0, £ -   ,,
424,Apple iPhone 13 256GB Pink - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
425,Apple iPhone 13 256GB Red - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
426,Apple iPhone 13 256GB Red - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,6, £ -   ,0, £ -   ,,
427,Apple iPhone 13 256GB Starlight - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
428,Apple iPhone 13 256GB Starlight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
429,Apple iPhone 13 256GB Starlight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,5, £ -   ,0, £ -   ,,
430,Apple iPhone 13 512GB Blue - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
431,Apple iPhone 13 512GB Green - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
432,Apple iPhone 13 512GB Pink - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
433,Apple iPhone 13 512GB Red - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
434,Apple iPhone 13 512GB Starlight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
435,Apple iPhone 13 Mini 128GB Blue - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
436,Apple iPhone 13 Mini 128GB Blue - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
437,Apple iPhone 13 Mini 128GB Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,4, £ -   ,0, £ -   ,,
438,Apple iPhone 13 Mini 128GB Blue - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,7, £ -   ,0, £ -   ,,
439,Apple iPhone 13 Mini 128GB Green - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
440,Apple iPhone 13 Mini 128GB Green - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
441,Apple iPhone 13 Mini 128GB Green - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
442,Apple iPhone 13 Mini 128GB Midnight - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
443,Apple iPhone 13 Mini 128GB Midnight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,12, £ -   ,0, £ -   ,,
444,Apple iPhone 13 Mini 128GB Midnight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,9, £ -   ,0, £ -   ,,
445,Apple iPhone 13 Mini 128GB Midnight - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
446,Apple iPhone 13 Mini 128GB Pink - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
447,Apple iPhone 13 Mini 128GB Pink - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
448,Apple iPhone 13 Mini 128GB Pink - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
449,Apple iPhone 13 Mini 128GB Pink - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
450,Apple iPhone 13 Mini 128GB Pink - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
451,Apple iPhone 13 Mini 128GB Pink - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,3, £ -   ,0, £ -   ,,
452,Apple iPhone 13 Mini 128GB Pink - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,3, £ -   ,0, £ -   ,,
453,Apple iPhone 13 Mini 128GB Red - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
454,Apple iPhone 13 Mini 128GB Red - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
455,Apple iPhone 13 Mini 128GB Red - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
456,Apple iPhone 13 Mini 128GB Starlight - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
457,Apple iPhone 13 Mini 128GB Starlight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
458,Apple iPhone 13 Mini 128GB Starlight - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,5, £ -   ,0, £ -   ,,
459,Apple iPhone 13 Mini 256GB Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
460,Apple iPhone 13 Mini 256GB Midnight - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
461,Apple iPhone 13 Pro 128GB Gold - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
462,Apple iPhone 13 Pro 128GB Gold - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
463,Apple iPhone 13 Pro 128GB Gold - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
464,Apple iPhone 13 Pro 128GB Gold - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
465,Apple iPhone 13 Pro 128GB Gold - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
466,Apple iPhone 13 Pro 128GB Graphite - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
467,Apple iPhone 13 Pro 128GB Graphite - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,9, £ -   ,0, £ -   ,,
468,Apple iPhone 13 Pro 128GB Graphite - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
469,Apple iPhone 13 Pro 128GB Green - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
470,Apple iPhone 13 Pro 128GB Green - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
471,Apple iPhone 13 Pro 128GB Green - Grade C (Non-Genuine) - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C (Non-Genuine),Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
472,Apple iPhone 13 Pro 128GB SierraBlue - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
473,Apple iPhone 13 Pro 128GB SierraBlue - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
474,Apple iPhone 13 Pro 128GB SierraBlue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,5, £ -   ,0, £ -   ,,
475,Apple iPhone 13 Pro 128GB SierraBlue - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
476,Apple iPhone 13 Pro 128GB Silver - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
477,Apple iPhone 13 Pro 128GB Silver - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
478,Apple iPhone 13 Pro 128GB Silver - Pristine A+ - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
479,Apple iPhone 13 Pro 1TB SierraBlue - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
480,Apple iPhone 13 Pro 256GB Gold - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
481,Apple iPhone 13 Pro 256GB Gold - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
482,Apple iPhone 13 Pro 256GB Graphite - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
483,Apple iPhone 13 Pro 256GB Graphite - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,5, £ -   ,0, £ -   ,,
484,Apple iPhone 13 Pro 256GB Graphite - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,6, £ -   ,0, £ -   ,,
485,Apple iPhone 13 Pro 256GB Green - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
486,Apple iPhone 13 Pro 256GB SierraBlue - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
487,Apple iPhone 13 Pro 256GB SierraBlue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
488,Apple iPhone 13 Pro 256GB SierraBlue - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
489,Apple iPhone 13 Pro 256GB SierraBlue - Grade C - Standard Vat - US Spec - 80%+ Battery Health,Grade C,Standard,US,80%+,1, £ -   ,0, £ -   ,,
490,Apple iPhone 13 Pro 256GB Silver - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
491,Apple iPhone 13 Pro 256GB Silver - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
492,Apple iPhone 13 Pro 512GB Graphite - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
493,Apple iPhone 13 Pro 512GB Graphite - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
494,Apple iPhone 13 Pro 512GB Green - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
495,Apple iPhone 13 Pro 512GB SierraBlue - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
496,Apple iPhone 13 Pro 512GB SierraBlue - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
497,Apple iPhone 13 Pro 512GB Silver - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
498,Apple iPhone 13 Pro Max 128GB Gold - Grade A - Standard Vat - US Spec - 80%+ Battery Health,Grade A,Standard,US,80%+,1, £ -   ,0, £ -   ,,
499,Apple iPhone 13 Pro Max 128GB Gold - Grade B - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade B,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
500,Apple iPhone 13 Pro Max 128GB Gold - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,2, £ -   ,0, £ -   ,,
501,Apple iPhone 13 Pro Max 128GB Green - Grade A - Standard Vat - US Spec - 80%+ Battery Health,Grade A,Standard,US,80%+,12, £ -   ,0, £ -   ,,
502,Apple iPhone 13 Pro Max 128GB Grphte - Grade A - Standard Vat - US Spec - 80%+ Battery Health,Grade A,Standard,US,80%+,5, £ -   ,0, £ -   ,,
503,Apple iPhone 13 Pro Max 128GB Grphte - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
504,Apple iPhone 13 Pro Max 128GB Grphte - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
505,Apple iPhone 13 Pro Max 128GB Grphte - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,5, £ -   ,0, £ -   ,,
506,Apple iPhone 13 Pro Max 128GB Grphte - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
